question,answer
How to treat bacterial spot on tomato?,Apply copper-based bactericide weekly during wet weather. Remove and destroy infected plant material. Avoid overhead irrigation. Use certified disease-free seeds. Disinfect garden tools between plants.
What is corn common rust?,Common rust in corn is caused by the fungus Puccinia sorghi. It appears as small oval golden-brown to brick-red powdery pustules on both leaf surfaces. Severe infections reduce photosynthesis and yield.
How to treat corn rust?,Apply fungicide like propiconazole or trifloxystrobin if rust appears before tasseling. Plant resistant corn hybrids. Early planting can help crops mature before rust pressure builds.
How do I know if my corn plant is healthy?,A healthy corn plant has bright green upright leaves without spots pustules or lesions. Stalks are firm and tall. No yellowing or wilting during normal weather conditions.
What is plant disease?,Plant disease is any abnormal condition that impairs normal plant function. Diseases can be caused by fungi bacteria viruses nematodes or environmental stress. Early detection is key to preventing spread.
How does AI detect plant disease?,Our AI uses a Convolutional Neural Network (CNN) trained on thousands of leaf images from the PlantVillage dataset. When you upload a leaf photo the AI analyzes color patterns texture and spot morphology to identify the disease.
How accurate is the plant disease detection?,Our model achieves approximately 85-92% accuracy on trained classes using MobileNetV2 transfer learning. For best results upload a clear close-up photo of a single affected leaf in good lighting.
What images give best detection results?,Upload a close-up photo of a single leaf showing the affected area clearly. Use natural daylight. Avoid shadows blurriness or multiple leaves in frame. Higher resolution photos give more accurate results.
What plants can this system detect?,Currently the system can detect diseases in Potato (Early Blight Late Blight Healthy) Tomato (Yellow Leaf Curl Virus Early Blight Late Blight Bacterial Spot Healthy) and Corn (Common Rust Healthy).
How do I prevent plant diseases generally?,Use disease-resistant varieties. Practice crop rotation. Ensure good drainage and air circulation. Water at the base not on leaves. Remove and destroy infected plant parts. Disinfect tools between plants.
What is crop rotation?,Crop rotation means growing different crops in the same field each season. It prevents disease buildup because many pathogens are specific to certain plant families and die off without their host plants.
What is a fungicide?,A fungicide is a chemical that kills or inhibits fungal growth. Common examples include copper sulfate mancozeb chlorothalonil and propiconazole. Always follow label instructions for safe and effective application.
What is neem oil used for in plants?,Neem oil is an organic pesticide and fungicide. It controls whiteflies aphids spider mites and early-stage fungal infections. Mix 2-3ml per liter of water with a few drops of dish soap and spray on leaves.
How do I control whiteflies naturally?,Use yellow sticky traps near plants. Spray neem oil or insecticidal soap solution weekly. Introduce natural predators like ladybugs. Reflective silver mulch repels whiteflies. Remove heavily infested leaves.
What causes yellow leaves on plants?,Yellow leaves can indicate overwatering nutrient deficiency (especially nitrogen or iron) viral infection fungal disease or natural aging of older leaves. Upload a photo for accurate diagnosis.
What is overwatering?,Overwatering means giving plants more water than their roots can absorb. It causes root rot yellowing leaves wilting and fungal diseases. Always check soil moisture before watering — stick finger 2cm into soil.
How do I fix overwatered plants?,Stop watering immediately. Improve drainage by adding drainage holes or repotting. Remove yellowed leaves. Allow soil to dry out completely before watering again. Add perlite to soil to improve drainage.
What is underwatering?,Underwatering causes dry crispy leaf edges wilting even in cool weather and dry crumbly soil. Water thoroughly until it drains from the bottom then allow top inch of soil to dry before watering again.
How do I improve soil for vegetables?,Add compost or well-rotted manure. Aim for slightly acidic pH 6.0-6.8. Ensure good drainage by adding sand or perlite. Test soil annually and amend based on results. Good soil is the foundation of healthy plants.
What pH is best for tomatoes?,Tomatoes grow best at soil pH 6.0-6.8. Below 6.0 nutrients become less available causing deficiencies. Test soil pH with an inexpensive meter and add lime to raise pH or sulfur to lower it.
What fertilizer is best for potatoes?,Potatoes need balanced NPK fertilizer. Apply 10-10-10 at planting then side-dress with nitrogen when plants are 15cm tall. Avoid excess nitrogen which promotes leaves over tubers. Add potassium for tuber quality.
When should I spray fungicide?,Apply preventively before disease appears during humid or rainy weather. If disease is already present apply at first sign and repeat every 7-14 days. Spray in early morning or evening to avoid leaf burn.
Is it safe to eat vegetables from diseased plants?,It depends on the disease. Fruits from plants with fungal leaf spots are usually safe if undamaged. Discard any fruits showing rot mold or lesions. Wash all produce thoroughly. When in doubt throw it out.
What is integrated pest management?,Integrated Pest Management (IPM) combines biological cultural mechanical and chemical controls to manage pests with minimal environmental impact. It uses pesticides only as a last resort after other methods fail.
How do I identify plant disease from leaf symptoms?,Look at the color pattern and location of symptoms. Brown spots with rings suggest fungal blight. Yellow mosaic patterns suggest virus. Water-soaked spots suggest bacteria. Upload a clear photo for AI-powered identification.
What is plant blight?,Blight is a rapid and complete plant tissue death caused by fungal or bacterial infection. Leaves stems or fruits may turn brown black or yellow and die quickly. Early detection and treatment are critical.
What temperature do fungi prefer?,Most plant pathogenic fungi prefer warm humid conditions 20-30°C with high moisture. Provide good air circulation avoid overhead watering and apply preventive fungicide before wet rainy periods to reduce risk.
How do I store harvested potatoes?,Store potatoes in a cool dark dry place at 7-10°C with good ventilation. Avoid storing near apples or ethylene-producing fruits. Check stored potatoes weekly and remove any that are rotting to prevent spread.
How do I save seeds from tomatoes?,Scoop seeds into water and ferment 2-3 days to remove gel coating. Wash clean seeds thoroughly then dry on paper towel for 1-2 weeks. Store in cool dry place in paper envelope. Use within 3-5 years.
What is companion planting?,Companion planting means growing mutually beneficial plants together. For example basil repels aphids and improves tomato flavor. Marigolds deter nematodes. Tall corn provides shade for heat-sensitive crops.
How do I know if my plant needs water?,Check soil moisture by inserting finger 2-3cm into soil. If dry water thoroughly. Or lift the pot — a dry pot is noticeably lighter. Wilting in morning heat (not just afternoon) also indicates thirst.
What is root rot?,Root rot is caused by overwatering and/or fungal pathogens like Pythium. Roots turn black and mushy. Treat by removing affected roots repotting in fresh well-draining soil and applying root zone fungicide.
How do I prevent root rot?,Use well-draining soil with perlite. Ensure pots have drainage holes. Do not let plants sit in standing water. Water only when top inch of soil is dry. Apply preventive root zone fungicide in high-humidity conditions.
What is powdery mildew?,Powdery mildew appears as white powdery coating on leaf surfaces caused by various fungal species. It prefers warm dry days and cool nights. Treat with potassium bicarbonate neem oil or sulfur-based fungicide.
How to treat powdery mildew?,Mix 1 tablespoon baking soda and 1 teaspoon dish soap in 1 liter of water and spray on affected plants. Or use neem oil solution. Remove severely infected leaves. Improve air circulation around plants.
What is downy mildew?,Downy mildew causes yellow spots on leaf surfaces with grayish fuzzy mold on undersides. Unlike powdery mildew it prefers cool wet weather. Treat with copper fungicide and remove infected leaves.
How do I control aphids organically?,Spray plants with strong jet of water to dislodge aphids. Apply neem oil or insecticidal soap solution weekly. Introduce ladybugs or lacewings as natural predators. Plant marigolds or mint as deterrents.
What are the signs of nutrient deficiency?,Yellowing between leaf veins suggests magnesium or iron deficiency. Purple leaves suggest phosphorus deficiency. Yellowing of older leaves from bottom up suggests nitrogen deficiency. Conduct soil test for accurate diagnosis.
How do I add nitrogen to soil naturally?,Add compost aged manure or worm castings. Plant nitrogen-fixing cover crops like clover or legumes. Use fish emulsion liquid fertilizer. Coffee grounds add small amounts of nitrogen as they decompose.
What is the best time to plant tomatoes?,Plant tomatoes after last frost when soil temperature reaches 18°C minimum. In India plant in June-July for kharif season or January-February in warm regions. Avoid planting during extreme heat above 35°C.
How do I stake tomato plants?,Use wooden or metal stakes 150-180cm tall driven 30cm into soil 15cm from plant. Tie plant loosely with soft garden twine at 20-25cm intervals as it grows. Staking improves air circulation and reduces disease risk.
What is the lifecycle of a fungal plant disease?,Fungal spores land on leaves (infection) → germinate in moisture → penetrate leaf tissue → grow inside leaf (incubation 3-14 days) → produce visible symptoms → release new spores that spread to other plants.
How does rain affect plant disease?,Rain creates moist conditions ideal for fungal and bacterial disease spread. Rainwater splashes spores from soil to leaves and between plants. Apply preventive fungicide before expected rain during disease season.
What is biological control of plant disease?,Biological control uses beneficial microorganisms to suppress plant pathogens. For example Bacillus subtilis and Trichoderma species are natural fungal antagonists available as biocontrol products safe for organic farming.
How do I disinfect garden tools?,Wipe tools with 70% rubbing alcohol or 10% bleach solution between plants. This prevents spreading bacterial and fungal diseases on tools. Rinse bleach-treated tools to prevent corrosion. Dry thoroughly before storage.
What is crop scouting?,Crop scouting means regularly walking through your field or garden to observe plant health. Check undersides of leaves for pests and signs of disease. Early detection allows treatment before problems spread.
How many times should I spray fungicide per season?,Preventively spray every 10-14 days during humid weather. If disease is present spray every 7-10 days. Rotate between different fungicide types to prevent resistance. Follow product label for maximum applications.
What is the difference between fungicide and bactericide?,Fungicide kills or prevents fungi. Bactericide kills or prevents bacteria. Copper compounds work as both. Some diseases require specific treatments — upload your plant photo for accurate disease identification first.
Can plants recover from viral infections?,No — once a plant is infected with a virus there is no cure. Remove and destroy infected plants to prevent spread to healthy ones. Control insect vectors like whiteflies and aphids that spread viruses.
What is the PlantVillage dataset?,PlantVillage is an open-source dataset from Penn State University containing 54,000+ images of healthy and diseased plant leaves across 14 crop species and 26 diseases. It is the gold standard for plant disease AI research.
What is a convolutional neural network?,A CNN is a type of deep learning model designed for image recognition. It uses layers of filters to detect patterns like edges textures and shapes in images. Our plant disease detector uses MobileNetV2 CNN architecture.
What is transfer learning in AI?,Transfer learning uses a model pretrained on millions of images (like ImageNet) and fine-tunes it for a specific task. This dramatically improves accuracy even with small datasets — our model uses MobileNetV2 with transfer learning.
How do I report a new plant disease?,Contact your local agricultural extension office or state agriculture department. They can send experts to inspect and may collect samples for laboratory diagnosis. Early reporting helps prevent regional disease outbreaks.
What is the best way to photograph plant disease?,Take photo in natural daylight without flash. Hold camera 15-20cm from leaf. Capture the affected area clearly in the center of frame. Use a single leaf against plain background if possible. Ensure sharp focus.
My plant image was not recognized. What should I do?,Try retaking the photo with better lighting and focus. Ensure the affected leaf area fills most of the frame. Currently the system recognizes diseases in potato tomato and corn plants only.
What is MobileNetV2?,MobileNetV2 is an efficient deep learning architecture developed by Google. It is optimized for mobile and embedded devices while maintaining high accuracy. Our plant disease model is built on MobileNetV2 pretrained on ImageNet.
Is the plant disease detection free to use?,Yes this Plant AI system is completely free. It uses a locally trained model running on your own computer. No data is sent to external servers for analysis.
Can this system detect all plant diseases?,Currently the system is trained on potato tomato and corn diseases from the PlantVillage dataset. More diseases can be added by including additional training data and retraining the model.
How can I improve detection accuracy?,For best results use clear close-up photos in good natural lighting. Make sure the diseased area is clearly visible and in focus. Avoid blurry dark or distant images. The system works best on single leaves.
What should I do after detecting a disease?,Follow the specific recommendations shown in the results panel. Apply the suggested treatment promptly. Monitor the plant closely over the next 7-14 days. Consult a local agricultural expert for severe infections.
How does the confidence percentage work?,The confidence percentage shows how certain the AI is about its prediction. Above 80% is very reliable. 60-80% is moderate confidence. Below 60% the system will indicate uncertainty and suggest retaking the photo.
What temperature is best for potato growth?,Potatoes grow best in temperatures between 15-25°C. Cooler climates are ideal. Avoid temperatures above 30°C as it reduces tuber formation.
Why are my tomato leaves turning yellow with spots?,This could be early blight or bacterial spot. Look for brown spots with yellow halos. Remove infected leaves and apply fungicide like mancozeb.
What causes white powder on leaves?,This is likely powdery mildew a fungal disease. It appears as white powdery coating on leaves. Treat with neem oil or baking soda spray.
Best practices for healthy crops?,Use good quality soil proper watering crop rotation disease-resistant varieties and regular monitoring for pests and diseases.
Home remedies for plant diseases?,Use neem oil spray baking soda solution proper air circulation and remove infected leaves early to control diseases naturally.
How to prevent fungal infection in plants?,Avoid overwatering ensure good airflow use fungicide preventively and keep leaves dry especially during humid weather.
My potato plant has brown spots what is it?,This is likely early blight caused by fungus. Treat with fungicide and remove infected leaves.
Leaves have black patches and are drying,This may indicate fungal infection or blight. Remove infected leaves and apply fungicide.
Ways to keep crops healthy,Maintain proper watering good soil crop rotation and monitor regularly for pests and diseases.
What causes white fungus on leaves?,White fungus is usually powdery mildew. Treat with neem oil or baking soda spray.
How to prevent fungus after rain?,Ensure good airflow avoid wet leaves and apply preventive fungicide after rain.
How do I save a dying tomato plant?,Check soil moisture first — overwatering is the most common cause. Remove dead or yellowing leaves. Ensure 6-8 hours of sunlight daily. Apply balanced fertilizer if soil is poor. Most plants recover within a week with proper care.
How do I revive a wilting plant?,Move the plant to shade immediately. Water thoroughly if soil is dry. If overwatered let soil dry out completely first. Remove all damaged leaves. Check roots for rot — healthy roots are white not brown. Most plants recover within 24-48 hours.
My plant is dying what should I do?,Check soil moisture by inserting finger 2cm deep. If dry water thoroughly until it drains from bottom. If wet let it dry out before watering again. Remove dead leaves. Check for pests under leaves. Ensure adequate sunlight and good drainage.
How to fix overwatered tomato plant?,Stop watering immediately. Remove plant from pot if possible and check roots. Cut off any black mushy roots. Repot in fresh dry soil with good drainage. Place in bright indirect light. Do not water again until top 2cm of soil is dry.
Why are my plant leaves falling off?,Leaf drop is caused by overwatering underwatering sudden temperature changes low light or pest infestation. Check soil moisture and adjust watering. Move plant away from cold drafts. Inspect leaves for pests. Remove fallen leaves to prevent disease spread.
How to treat root rot in plants?,Remove plant from soil and wash roots under water. Cut off all black or brown mushy roots with sterile scissors. Dip remaining roots in diluted hydrogen peroxide. Repot in fresh well-draining soil. Water sparingly — only when top inch of soil is dry.
What is potato early blight?,Early blight is a fungal disease caused by Alternaria solani. It appears as dark brown spots with concentric rings on older leaves. Treat with copper-based fungicide and remove infected leaves immediately.
What is early blight potato?,Early blight is a fungal disease caused by Alternaria solani. It appears as dark brown spots with concentric rings on older leaves. Treat with copper-based fungicide and remove infected leaves immediately.
Potato early blight what is it?,Early blight is a fungal disease caused by Alternaria solani. It appears as dark brown spots with concentric rings on older leaves. Treat with copper-based fungicide and remove infected leaves immediately.
Tell me about potato early blight,Early blight is a fungal disease caused by Alternaria solani. It appears as dark brown spots with concentric rings on older leaves. Treat with copper-based fungicide and remove infected leaves immediately.
Explain potato early blight,Early blight is a fungal disease caused by Alternaria solani. It appears as dark brown spots with concentric rings on older leaves. Treat with copper-based fungicide and remove infected leaves immediately.
What is tomato early blight disease?,Tomato early blight is caused by Alternaria solani. It causes dark brown circular spots with yellow halos usually starting on older lower leaves. It weakens the plant and reduces fruit yield significantly.
Tell me about tomato early blight,Tomato early blight is caused by Alternaria solani. It causes dark brown circular spots with yellow halos usually starting on older lower leaves. It weakens the plant and reduces fruit yield significantly.
What is late blight in potato?,Late blight is caused by Phytophthora infestans. It appears as water-soaked lesions that turn dark brown with white mold on undersides. It destroyed the Irish potato crop in 1845 and is extremely destructive.
What is late blight potato?,Late blight is caused by Phytophthora infestans. It appears as water-soaked lesions that turn dark brown with white mold on undersides. It destroyed the Irish potato crop in 1845 and is extremely destructive.
Tell me about potato late blight,Late blight is caused by Phytophthora infestans. It appears as water-soaked lesions that turn dark brown with white mold on undersides. It destroyed the Irish potato crop in 1845 and is extremely destructive.
What is corn rust disease?,Common rust in corn is caused by the fungus Puccinia sorghi. It appears as small oval golden-brown to brick-red powdery pustules on both leaf surfaces. Severe infections reduce photosynthesis and yield.
Tell me about corn rust,Common rust in corn is caused by the fungus Puccinia sorghi. It appears as small oval golden-brown to brick-red powdery pustules on both leaf surfaces. Severe infections reduce photosynthesis and yield.
How to water tomato plants?,Water tomato plants deeply once or twice a week. Avoid overhead watering to prevent fungal disease. Use drip irrigation at the base. Ensure soil is moist but not waterlogged. Check soil moisture before every watering.
How to water tomatoes?,Water tomato plants deeply once or twice a week. Avoid overhead watering to prevent fungal disease. Use drip irrigation at the base. Ensure soil is moist but not waterlogged. Check soil moisture before every watering.
Tomato watering tips,Water tomato plants deeply once or twice a week. Avoid overhead watering to prevent fungal disease. Use drip irrigation at the base. Ensure soil is moist but not waterlogged. Check soil moisture before every watering.
What is blight in tomato?,Tomato blight is caused by fungal pathogens. Early blight causes dark spots with yellow halos on lower leaves. Late blight causes large water-soaked dark lesions. Both spread rapidly in humid weather and need immediate fungicide treatment.
What is blight disease?,Blight is a rapid and complete plant tissue death caused by fungal or bacterial infection. Leaves stems or fruits may turn brown black or yellow and die quickly. Early detection and treatment are critical.
How to identify early blight?,Early blight appears as dark brown circular spots with concentric rings like a target pattern. Spots are usually surrounded by yellow halo. It starts on older lower leaves and spreads upward. Treat with copper-based fungicide immediately.
What does early blight look like?,Early blight appears as dark brown circular spots with concentric rings like a target pattern. Spots have a yellow halo around them. It starts on older lower leaves and moves upward on the plant.
How to spray fungicide on plants?,Mix fungicide as per label instructions. Use a hand sprayer or knapsack sprayer. Spray both upper and lower surfaces of leaves. Apply in early morning or evening. Repeat every 7-14 days or after heavy rain.
Is neem oil good for plant diseases?,Yes neem oil is effective against many fungal diseases and pests. Mix 2-3ml per liter of water with a few drops of dish soap. Spray on all leaf surfaces weekly. It is organic and safe for vegetables.
What is the best fungicide for blight?,Copper-based fungicides mancozeb and chlorothalonil are the most effective against blight. Apply every 7-10 days during humid weather. Rotate between fungicide types to prevent resistance building up.
